Country,Annual-Nominal (US$),Annual-PPP (Int$),Workweek  (hours),Hourly-Nominal (US$),Hourly-PPP (Int$),Percents�of  GDP per capita,Effective per
Sri Lanka,787,2414,45,0.34,1.03,19.60%,01-Jan-16
Sudan,5389,7676,40,2.59,3.69,162.30%,2020
Suriname,,,45,,,,2013
Sweden,,,40,,,,2017
Switzerland,34284,,41.7,,,,2014
Syria,96,2850,40,0.4,1.37,54%,2013
Taiwan,9702,22359,40,5.26,12.12,39.10%,01-Jan-20
Tajikistan,351,1288,40,0.17,0.62,43.20%,01-Sep-13
Tanzania,215,593,45,0.09,0.25,21.30%,01-Jul-13
Thailand,3034,8031,48,1.22,3.22,47.50%,01-Jan-20
Timor-Leste,1380,2123,44,0.6,0.93,99.20%,22-Jun-12
Togo,722,1796,40,0.35,0.86,120.50%,01-Jan-12
Tonga,,,40,,,,2013
Trinidad and Tobago,4602,5503,40,2.21,2.65,16.70%,01-Jan-15
Tunisia,1031,3007,48,0.41,1.2,25.90%,2011
Turkey,9676,22073,45,4.13,9.43,87.40%,01-Jan-20
Turkmenistan,1834,4842,40,0.88,2.33,28.70%,01-Jan-15
Tuvalu,,,,,,,2013
Uganda,432,1298,40,0.21,0.62,71.30%,01-Jul-17
Ukraine,2131,9590,40,1.02,4.61,116%,01-Jan-20
United Arab Emirates,,,48,,,,2013
United Kingdom,23253,22672,40,11.18,10.9,53.20%,01-Apr-20
United States,15080,15080,40,7.25,7.25,26.20%,24-Jul-09
Uruguay,7502,9183,48,3.01,3.68,42.50%,2021
Uzbekistan,2969,7954,40,1.43,3.82,122.10%,01-Sep-19
Vanuatu,3331,3041,40,1.6,1.46,98.70%,20-Aug-12
Venezuela,1032,,,,,,01-May-20
Vietnam,1526,3676,40,0.73,1.77,58.40%,01-Jan-18
Yemen,,,48,,,,2013
Zambia,1252,3180,48,0.5,1.27,80.80%,10-Sep-18
Zimbabwe,,,,,,,2012
